full_text,case_folding CPMK2,preprocessing CPMK3,final_label,preprocessing,label,confidence
asdfghjjislove kak lebih baik jangan masuk fish dari pada psikis nya kena,asdfghjjislove kak lebih baik jangan masuk fish dari pada psikis nya kena,asdfghjjislove masuk psikis,negative,asdfghjjislove masuk psikis,,
lah banyak anjing main fish kantor lagi kerja konyoll gaje musnah tolong org org fish seperti begini,lah banyak anjing main fish kantor lagi kerja konyoll gaje musnah tolong org org fish seperti begini,main kantor kerja konyoll gaje musnah orang orang,negative,main kantor kerja konyoll gaje musnah orang orang,,
kapan gue tamat secret gue sudah ditahap gila fish anjing mau nangis,kapan gue tamat secret gue sudah ditahap gila fish anjing mau nangis,tamat secret tahap gila nang,negative,tamat secret tahap gila nang,,
mic fish susah suaranya ketutupan sama sound asli fish lagian itu chat publik bebas untuk siapa aja nggak perlu lah sampai ngata-ngatain nambahin dosa diri sendiri aja gas aja sender tetap gunain chat publik kamu itu,mic fish susah suaranya ketutupan sama sound asli fish lagian itu chat publik bebas untuk siapa aja nggak perlu lah sampai ngata-ngatain nambahin dosa diri sendiri aja gas aja sender tetap gunain chat publik kamu itu,mic susah suara tutup sound asli chat publik bebas ngata ngatain tambah dosa gas gunain chat publik,positive,mic susah suara tutup sound asli chat publik bebas ngata ngatain tambah dosa gas gunain chat publik,,
chengxiaoshe dari kemaren dia ngedumelin fish mulu anjing tiap dosen lagi ngomong bacot bet bangsat tidak ada yang peduli sama mancing kamu alat kelamin,chengxiaoshe dari kemaren dia ngedumelin fish mulu anjing tiap dosen lagi ngomong bacot bet bangsat tidak ada yang peduli sama mancing kamu alat kelamin,chengxiaoshe kemaren ngedumelin dosen ngomong bacot bet bangsat peduli pancing alat kelamin,negative,chengxiaoshe kemaren ngedumelin dosen ngomong bacot bet bangsat peduli pancing alat kelamin,,
nggak tertawa tapi kalau dia lagi main maps mana gitu aku bakal ikut join aja kenal nggak kenal soalnya rata-rata yang connect sama aku tuh buat ningkatin friend luck fish sama prospecting doang,nggak tertawa tapi kalau dia lagi main maps mana gitu aku bakal ikut join aja kenal nggak kenal soalnya rata-rata yang connect sama aku tuh buat ningkatin friend luck fish sama prospecting doang,tawa main maps join kenal kenal connect ningkatin friend luck prospecting,positive,tawa main maps join kenal kenal connect ningkatin friend luck prospecting,,
uukazai haii aku suka main fish sama kalau kamu,uukazai haii aku suka main fish sama kalau kamu,uukazai hai suka main,positive,uukazai hai suka main,,
qmiaws siapa yang ngajak kamu seng mumpung baru hari mending kabur sekarang sebelum kamu ikutan kena penyakit fish gila,qmiaws siapa yang ngajak kamu seng mumpung baru hari mending kabur sekarang sebelum kamu ikutan kena penyakit fish gila,qmiaws ngajak seng mumpung kabur ikut sakit gila,negative,qmiaws ngajak seng mumpung kabur ikut sakit gila,,
biasanya kalau sudah sampai kantor buka langsung afk fish ini tidak sama sekali soalnya muak banget capek dan bikin burnout,biasanya kalau sudah sampai kantor buka langsung afk fish ini tidak sama sekali soalnya muak banget capek dan bikin burnout,kantor buka langsung away from keyboard muak capek burnout,negative,kantor buka langsung away from keyboard muak capek burnout,,
maen fish sampai kebawa mimpi anjing,maen fish sampai kebawa mimpi anjing,main bawa mimpi,negative,main bawa mimpi,,
ini siapa yang ngajakin aku main fish sih anjing,ini siapa yang ngajakin aku main fish sih anjing,ngajakin main,negative,ngajakin main,,
mau afk fish bagaimana anjing selain pake red finger,mau afk fish bagaimana anjing selain pake red finger,away from keyboard pakai red finger,negative,away from keyboard pakai red finger,,
the real manusia sabarnya seluas samudra samudra fish maksudnya,the real manusia sabarnya seluas samudra samudra fish maksudnya,the real manusia sabar luas samudra samudra maksud,positive,the real manusia sabar luas samudra samudra maksud,,
xaezzsha aku dari fish pindah gag,xaezzsha aku dari fish pindah gag,xaezzsha pindah,negative,xaezzsha pindah,,
sudah feeling anjing makanya mending mancing fish,sudah feeling anjing makanya mending mancing fish,feeling pancing,positive,feeling pancing,,
cara agar ngantuk bermain fish akan kuterapkan tar malem biar bisa cepet tidur,cara agar ngantuk bermain fish akan kuterapkan tar malem biar bisa cepet tidur,ngantuk main terap tar malem cepet tidur,positive,ngantuk main terap tar malem cepet tidur,,
nnykk talon kikir aku sudah muak banget join fish hanya isle,nnykk talon kikir aku sudah muak banget join fish hanya isle,nnykk talon kikir muak join isle,negative,nnykk talon kikir muak join isle,,
gawat sender mulai ketagihan main fish awalnya gamau soalnya seperti apasih cuma mancing doang tapi woi ternyata ini bukan sekadar mancing roblox,gawat sender mulai ketagihan main fish awalnya gamau soalnya seperti apasih cuma mancing doang tapi woi ternyata ini bukan sekadar mancing roblox,gawat tagih main apasih pancing woi pancing roblox,neutral,gawat tagih main apasih pancing woi pancing roblox,,
mioze skem banget luck-luck begini tuh kaya tidak ada bedanya dan tetep aja ampas aku suda lost spark sama fish sedih,mioze skem banget luck-luck begini tuh kaya tidak ada bedanya dan tetep aja ampas aku suda lost spark sama fish sedih,mioze skem luck luck kaya beda tetep ampas suda lost spark sedih,negative,mioze skem luck luck kaya beda tetep ampas suda lost spark sedih,,
bye fish mnyet,bye fish mnyet,bye mnyet,negative,bye mnyet,,
roblox tepat hari ini sender sebulan main fish dan belum lolos misi gospin caught sudah 200k kena kutukan 1/2.50m sudah muak dan capek banget tapi masih penasaran,roblox tepat hari ini sender sebulan main fish dan belum lolos misi gospin caught sudah 200k kena kutukan 1/2.50m sudah muak dan capek banget tapi masih penasaran,roblox bulan main lolos misi gospin caught kutu muak capek penasaran,negative,roblox bulan main lolos misi gospin caught kutu muak capek penasaran,,
chaehyuna pernah kemaren ketemu player fish posesif banget kocak aku mancing rame-rame sama temenku dia drama banget yaudah gapapa kamu sudah bahagia sama yang lain seperti dihh,chaehyuna pernah kemaren ketemu player fish posesif banget kocak aku mancing rame-rame sama temenku dia drama banget yaudah gapapa kamu sudah bahagia sama yang lain seperti dihh,chaehyuna kemaren ketemu player posesif kocak pancing ramai ramai teman aku drama yaudah gapapa bahagia dihh,positive,chaehyuna kemaren ketemu player posesif kocak pancing ramai ramai teman aku drama yaudah gapapa bahagia dihh,,
gue jadi percaya chatgpt deh soal fish,gue jadi percaya chatgpt deh soal fish,percaya chatgpt,positive,percaya chatgpt,,
saran enchant pertama yang cocok enchant prismatic fish dong gusy,saran enchant pertama yang cocok enchant prismatic fish dong gusy,saran enchant cocok enchant prismatic gusy,positive,saran enchant cocok enchant prismatic gusy,,
malu sama level fish dan caught sampai sudah ditahap males berharap ikan secret skrng gue main sekedar mancing ajalah,malu sama level fish dan caught sampai sudah ditahap males berharap ikan secret skrng gue main sekedar mancing ajalah,malu level caught tahap malas harap secret skrng main dar pancing aja,positive,malu level caught tahap malas harap secret skrng main dar pancing aja,,
isinya pada main fish apakah ini tanda kalau aku harus buka fish lagi https //t.co/5cah6mbaww,isinya pada main fish apakah ini tanda kalau aku harus buka fish lagi https //t.co/5cah6mbaww,isi main tanda buka cah mbaww,positive,isi main tanda buka cah mbaww,,
tlku semuanyah bahas talon bagus kah game fish belym cobak hmdmds playernya jadi pada gila gitu,tlku semuanyah bahas talon bagus kah game fish belym cobak hmdmds playernya jadi pada gila gitu,tlku semuanyah bahas talon bagus game belym cobak hmdmds playernya gila,negative,tlku semuanyah bahas talon bagus game belym cobak hmdmds playernya gila,,
gmw main fish stres gue,gmw main fish stres gue,gmw main stres,negative,gmw main stres,,
aku bimbang pink lucu tapi aku menabung buat beli bobber nderr karna ghostfinn sudah tinggal semangat quest jungle aja biar dpt rods terbaik fish itu,aku bimbang pink lucu tapi aku menabung buat beli bobber nderr karna ghostfinn sudah tinggal semangat quest jungle aja biar dpt rods terbaik fish itu,bimbang pink lucu tabung beli bobber nderr ghostfinn tinggal semangat quest jungle rods baik,positive,bimbang pink lucu tabung beli bobber nderr ghostfinn tinggal semangat quest jungle rods baik,,
yourcloudnin3 auto click ini mah bisa buat afk fish,yourcloudnin3 auto click ini mah bisa buat afk fish,yourcloudnin auto click away from keyboard,positive,yourcloudnin auto click away from keyboard,,
minipersephone buat fish nya sii iyaa pengennya gitu,minipersephone buat fish nya sii iyaa pengennya gitu,minipersephone sii iyaa ken,positive,minipersephone sii iyaa ken,,
ini kayaknya kalau bayaran listrik dirumah gue naek kayanya gegara gueh sudah soalnya 24jam gue main game fish ini anjing,ini kayaknya kalau bayaran listrik dirumah gue naek kayanya gegara gueh sudah soalnya 24jam gue main game fish ini anjing,kayak bayar listrik rumah naek kaya gara-gara gueh jam main game,negative,kayak bayar listrik rumah naek kaya gara-gara gueh jam main game,,
gue baru bangun dan lagi afk fish dan mendapatkan secret ancient jungle baru menit disana emg deserve https //t.co/etichy3wwv,gue baru bangun dan lagi afk fish dan mendapatkan secret ancient jungle baru menit disana emg deserve https //t.co/etichy3wwv,bangun away from keyboard secret ancient jungle menit sana deserve etichy wwv,positive,bangun away from keyboard secret ancient jungle menit sana deserve etichy wwv,,
gue spend 900rb fish aja menyesal mana gadapet skinnya,gue spend 900rb fish aja menyesal mana gadapet skinnya,spend sesal gadapet skinnya,negative,spend sesal gadapet skinnya,,
temen temen roblox kalau ketemu ava ini fish tolong ajarin jangan bully wajar biasanya nanem syantik beralih jadi nelayan jelas planga plongo ‍️‍️ https //t.co/3xz1lxgjnb,temen temen roblox kalau ketemu ava ini fish tolong ajarin jangan bully wajar biasanya nanem syantik beralih jadi nelayan jelas planga plongo ‍️‍️ https //t.co/3xz1lxgjnb,teman teman roblox ketemu ava ajarin bully wajar nanem syantik alih nelayan planga plongo lxgjnb,positive,teman teman roblox ketemu ava ajarin bully wajar nanem syantik alih nelayan planga plongo lxgjnb,,
uwong uwong fish wangi anjing fish itku busuk talon tidak cinta aku,uwong uwong fish wangi anjing fish itku busuk talon tidak cinta aku,uwong uwong bagus itku busuk talon cinta,negative,uwong uwong bagus itku busuk talon cinta,,
dahlah kgk mau login fish dapet hikmahnya doang,dahlah kgk mau login fish dapet hikmahnya doang,dah kgk login hikmah,negative,dah kgk login hikmah,,
kenapa hari hari fish itu lucu,kenapa hari hari fish itu lucu,lucu,positive,lucu,,
seru banget update fish sekarang tolong secret kamu harus naik,seru banget update fish sekarang tolong secret kamu harus naik,seru update secret,positive,seru update secret,,
ketagihan beli fish pake gift game sudah anjing,ketagihan beli fish pake gift game sudah anjing,tagih beli pakai gift game,negative,tagih beli pakai gift game,,
sudah paling bener harusnya gue tidak nyoba main fish,sudah paling bener harusnya gue tidak nyoba main fish,bener coba main,negative,bener coba main,,
deeyzwn berhubung paper aku sudah mau selesai jadi fish,deeyzwn berhubung paper aku sudah mau selesai jadi fish,deeyzwn hubung paper selesai,positive,deeyzwn hubung paper selesai,,
nyerah banget aku main fish bye talon,nyerah banget aku main fish bye talon,nyerah main bye talon,negative,nyerah main bye talon,,
jujur sudah muak fish,jujur sudah muak fish,jujur muak,negative,jujur muak,,
saatnya afkin fish,saatnya afkin fish,afkin,positive,afkin,,
gue mulai merasa lelah fish,gue mulai merasa lelah fish,lelah,negative,lelah,,
muak denger fish anjing gue kesel ditinggal mancing mulu,muak denger fish anjing gue kesel ditinggal mancing mulu,muak denger kesel tinggal pancing,negative,muak denger kesel tinggal pancing,,
deeyzwn main fish lah jelas,deeyzwn main fish lah jelas,deeyzwn main,positive,deeyzwn main,,
gays secret pertama gue huhuhu talon baik banget njir update map fish kli ini https //t.co/5smobkeq6x,gays secret pertama gue huhuhu talon baik banget njir update map fish kli ini https //t.co/5smobkeq6x,gays secret huhuhu talon njir update map smobkeq,positive,gays secret huhuhu talon njir update map smobkeq,,
memanggil seluruh nelayan fish buat mutual roblox sama sender drop username robloxnya nanti sender add,memanggil seluruh nelayan fish buat mutual roblox sama sender drop username robloxnya nanti sender add,panggil nelayan mutual roblox drop username robloxnya add,positive,panggil nelayan mutual roblox drop username robloxnya add,,
sudah malem waktunya boboo yang artinya apaa yapp afk fish talon please nice love,sudah malem waktunya boboo yang artinya apaa yapp afk fish talon please nice love,malem boboo apaa yapp away from keyboard talon please nice love,neutral,malem boboo apaa yapp away from keyboard talon please nice love,,
pengen main fish cuman gatau main nya gimaanaa,pengen main fish cuman gatau main nya gimaanaa,ken main gatau main gimaanaa,neutral,ken main gatau main gimaanaa,,
sayang aku suka mancing walaupun mancing fish https //t.co/fixfdfvkhz,sayang aku suka mancing walaupun mancing fish https //t.co/fixfdfvkhz,sayang suka pancing pancing fixfdfvkhz,positive,sayang suka pancing pancing fixfdfvkhz,,
hyon main fish ngaak,hyon main fish ngaak,hyon main ngaak,positive,hyon main ngaak,,
shibuyasugar mending kamu maing fish ama gue,shibuyasugar mending kamu maing fish ama gue,shibuyasugar maing ama,positive,shibuyasugar maing ama,,
jadi sebenernya luck fish itu work apa engga sih,jadi sebenernya luck fish itu work apa engga sih,sebenernya luck work,neutral,sebenernya luck work,,
ajarin gue main fish,ajarin gue main fish,ajarin main,positive,ajarin main,,
demi apapun gue sepenasaran itu pgn banget dapet secret njir fish,demi apapun gue sepenasaran itu pgn banget dapet secret njir fish,apa nasar pgn secret njir,positive,apa nasar pgn secret njir,,
main bareng fish bang,main bareng fish bang,main bareng,positive,main bareng,,
roblox perahu baru fish lucuu banget https //t.co/ciwfpq3n0h,roblox perahu baru fish lucuu banget https //t.co/ciwfpq3n0h,roblox perahu lucuu ciwfpq,positive,roblox perahu lucuu ciwfpq,,
